,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,listing_per_host,availability_365,distance,last_review
24990,15034908,Manhattan,Harlem,Entire home/apt,278,3,4,0.99,2,133,6363.984878036288,15
24991,9898029,Brooklyn,East Flatbush,Private room,67,5,17,0.25,5,308,6380.428059818061,288
24992,48331309,Staten Island,Tompkinsville,Entire home/apt,95,4,54,2.06,1,0,6386.3419944028665,287
24993,251817021,Manhattan,Hell's Kitchen,Shared room,95,1,3,1.96,5,23,6369.478956751496,39
24994,2874433,Manhattan,East Harlem,Entire home/apt,120,7,149,1.78,1,16,6365.8353772817745,9
24995,2464187,Staten Island,St. George,Private room,40,1,5,0.14,2,0,6385.525594331973,830
24996,22095324,Brooklyn,Bushwick,Entire home/apt,65,5,42,2.16,1,1,6375.25904718448,15
24997,26098783,Brooklyn,Sunset Park,Private room,2000,2,0,1.3770742181764792,2,365,6382.295914889513,6762
24998,26802715,Queens,Flushing,Private room,49,4,0,1.3770742181764792,2,63,6365.406114524374,6762
24999,7050972,Brooklyn,Williamsburg,Private room,70,2,0,1.3770742181764792,1,0,6374.856913080549,6762
25000,1407021,Manhattan,Chinatown,Entire home/apt,180,3,30,0.63,1,0,6374.930615362961,551
25001,1494472,Brooklyn,Navy Yard,Entire home/apt,150,21,0,1.3770742181764792,2,365,6376.427072536782,6762
25002,243321,Queens,Long Island City,Entire home/apt,150,3,0,1.3770742181764792,1,0,6368.347009667882,6762
25003,13001035,Manhattan,Midtown,Private room,122,3,19,0.67,1,0,6370.224163726101,226
25004,228879817,Queens,Flushing,Private room,80,1,10,1.59,6,163,6367.912772019712,1
25005,1177400,Manhattan,Two Bridges,Entire home/apt,175,4,3,0.08,1,0,6375.566716246591,917
25006,218825786,Brooklyn,Clinton Hill,Private room,55,3,2,0.31,1,0,6377.1201699557105,184
25007,22541573,Manhattan,Chelsea,Entire home/apt,205,30,2,0.06,87,0,6371.9459453103855,929
25008,30490972,Queens,Ridgewood,Entire home/apt,125,3,5,0.22,1,0,6374.693569872564,651
25009,219517861,Manhattan,Murray Hill,Entire home/apt,160,29,1,0.63,327,345,6371.45451810416,47
25010,264990100,Brooklyn,Crown Heights,Entire home/apt,395,3,1,1.0,1,301,6378.863042075199,22
25011,35288455,Brooklyn,Williamsburg,Entire home/apt,147,3,55,1.29,1,5,6374.780138034273,194
25012,51842673,Brooklyn,Bedford-Stuyvesant,Shared room,725,1,0,1.3770742181764792,1,0,6377.0230976112525,6762
25013,567187,Manhattan,Harlem,Private room,65,14,35,0.35,1,283,6362.568187112856,37
25014,9804931,Brooklyn,Greenpoint,Entire home/apt,190,2,5,0.32,2,5,6372.753845633076,22
25015,177036542,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,44,2.72,1,285,6377.495368289988,7
25016,2514859,Brooklyn,Bedford-Stuyvesant,Private room,70,2,2,0.2,2,0,6376.898155382642,188
25017,10458297,Brooklyn,Williamsburg,Private room,230,4,0,1.3770742181764792,1,35,6374.550886422038,6762
25018,10128779,Brooklyn,Williamsburg,Entire home/apt,150,4,8,0.35,1,0,6374.192253181153,70
25019,1488170,Manhattan,East Village,Entire home/apt,225,5,2,0.37,1,90,6373.994435845988,120
25020,16962600,Manhattan,Lower East Side,Entire home/apt,125,7,4,0.07,1,0,6374.567683234394,1620
25021,38123545,Brooklyn,Bedford-Stuyvesant,Private room,55,2,24,2.32,2,347,6376.46198250088,14
25022,47104818,Brooklyn,Bedford-Stuyvesant,Private room,99,3,16,1.24,3,360,6376.093901641822,20
25023,3388950,Brooklyn,Bedford-Stuyvesant,Private room,72,4,59,2.22,6,120,6375.649688944593,11
25024,45440805,Brooklyn,Bedford-Stuyvesant,Private room,37,10,1,0.05,1,0,6376.2036733952955,626
25025,61684714,Manhattan,Washington Heights,Private room,26,7,0,1.3770742181764792,1,0,6360.234872781751,6762
25026,156436372,Brooklyn,Williamsburg,Entire home/apt,100,30,6,0.44,4,333,6374.08608727608,64
25027,260425153,Manhattan,Midtown,Private room,425,1,1,1.0,14,357,6369.396972327882,23
25028,43930499,Queens,Elmhurst,Private room,140,1,4,0.45,2,79,6369.472343210213,17
25029,3394386,Manhattan,Upper East Side,Entire home/apt,175,1,1,0.02,1,0,6367.148923237166,1289
25030,15444104,Manhattan,Upper East Side,Entire home/apt,170,10,11,0.24,1,0,6367.157503859312,783
25031,22541573,Manhattan,West Village,Entire home/apt,278,30,0,1.3770742181764792,87,350,6373.9746214553015,6762
25032,42994195,Brooklyn,Williamsburg,Private room,49,5,0,1.3770742181764792,1,0,6374.666907342483,6762
25033,205031545,Manhattan,Midtown,Entire home/apt,699,3,3,0.5,49,204,6370.300562289623,127
25034,5606448,Brooklyn,Greenpoint,Entire home/apt,249,30,71,0.94,1,273,6373.449472784059,38
25035,5017615,Manhattan,Flatiron District,Entire home/apt,115,14,3,0.13,1,0,6372.458643437145,254
25036,138957777,Manhattan,East Harlem,Private room,83,2,25,2.69,1,161,6364.475309604403,14
25037,7463662,Brooklyn,South Slope,Entire home/apt,120,2,149,2.76,1,0,6380.184080740542,389
25038,225913271,Manhattan,Chelsea,Entire home/apt,170,3,6,0.84,1,170,6371.584434547684,8
25039,15529083,Brooklyn,Crown Heights,Entire home/apt,200,3,2,0.24,1,362,6378.571432557269,190
25040,9215302,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,2,6,0.26,1,0,6380.514551842878,676
25041,1370324,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,3,2,0.32,1,324,6380.570352275082,61
25042,49879147,Queens,Forest Hills,Private room,75,1,0,1.3770742181764792,1,0,6370.255674858064,6762
25043,155807678,Manhattan,Morningside Heights,Entire home/apt,113,45,0,1.3770742181764792,1,87,6364.941786518552,6762
25044,205530337,Queens,Ridgewood,Private room,45,30,4,0.48,8,248,6374.248783412576,16
25045,51364562,Manhattan,Hell's Kitchen,Private room,105,3,4,0.09,1,0,6370.335926206438,405
25046,169795562,Brooklyn,Bushwick,Private room,50,6,0,1.3770742181764792,1,0,6375.496569124422,6762
25047,1925503,Manhattan,East Village,Private room,99,6,80,1.01,1,0,6373.544872131803,43
